Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
26/11/11,Real Madrid,Ath Madrid,4,1,H
26/11/11,Vallecano,Valencia,1,2,A
27/11/11,Ath Bilbao,Granada,0,1,A
27/11/11,Betis,Sociedad,2,3,A
27/11/11,Espanol,Osasuna,1,2,A
27/11/11,Levante,Sp Gijon,4,0,H
27/11/11,Mallorca,Santander,2,1,H
27/11/11,Zaragoza,Sevilla,0,1,A
28/11/11,Malaga,Villarreal,2,1,H
29/11/11,Barcelona,Vallecano,4,0,H
03/12/11,Barcelona,Levante,5,0,H
03/12/11,Santander,Villarreal,1,0,H
03/12/11,Sp Gijon,Real Madrid,0,3,A
03/12/11,Valencia,Espanol,2,1,H
04/12/11,Ath Madrid,Vallecano,3,1,H
04/12/11,Granada,Zaragoza,1,0,H
04/12/11,Mallorca,Ath Bilbao,1,1,D
04/12/11,Osasuna,Betis,2,1,H
04/12/11,Sociedad,Malaga,3,2,H
05/12/11,Sevilla,Getafe,3,0,H
07/12/11,Granada,Mallorca,2,2,D
10/12/11,Betis,Valencia,2,1,H
10/12/11,Levante,Sevilla,1,0,H
10/12/11,Real Madrid,Barcelona,1,3,A
11/12/11,Ath Bilbao,Santander,1,1,D
11/12/11,Espanol,Ath Madrid,4,2,H
11/12/11,Getafe,Granada,1,0,H
11/12/11,Malaga,Osasuna,1,1,D
11/12/11,Vallecano,Sp Gijon,1,3,A
11/12/11,Villarreal,Sociedad,1,1,D
11/12/11,Zaragoza,Mallorca,0,1,A
17/12/11,Ath Bilbao,Zaragoza,2,1,H
17/12/11,Mallorca,Getafe,1,2,A
17/12/11,Sevilla,Real Madrid,2,6,A
17/12/11,Sp Gijon,Espanol,1,2,A
18/12/11,Ath Madrid,Betis,0,2,A
18/12/11,Granada,Levante,2,1,H
18/12/11,Osasuna,Villarreal,2,1,H
18/12/11,Santander,Sociedad,0,0,D
18/12/11,Valencia,Malaga,2,0,H
07/01/12,Levante,Mallorca,0,0,D
07/01/12,Malaga,Ath Madrid,0,0,D
07/01/12,Real Madrid,Granada,5,1,H
07/01/12,Santander,Zaragoza,1,0,H
07/01/12,Sociedad,Osasuna,0,0,D
08/01/12,Betis,Sp Gijon,2,0,H
08/01/12,Espanol,Barcelona,1,1,D
08/01/12,Getafe,Ath Bilbao,0,0,D
08/01/12,Vallecano,Sevilla,2,1,H
08/01/12,Villarreal,Valencia,2,2,D
14/01/12,Granada,Vallecano,1,2,A
14/01/12,Mallorca,Real Madrid,1,2,A
14/01/12,Sevilla,Espanol,0,0,D
14/01/12,Valencia,Sociedad,0,1,A
14/01/12,Zaragoza,Getafe,1,1,D
15/01/12,Ath Bilbao,Levante,3,0,H
15/01/12,Ath Madrid,Villarreal,3,0,H
15/01/12,Barcelona,Betis,4,2,H
15/01/12,Osasuna,Santander,0,2,A
15/01/12,Sp Gijon,Malaga,2,1,H
21/01/12,Betis,Sevilla,1,1,D
21/01/12,Espanol,Granada,3,0,H
21/01/12,Santander,Getafe,1,2,A
21/01/12,Sociedad,Ath Madrid,0,4,A
22/01/12,Levante,Zaragoza,0,0,D
22/01/12,Malaga,Barcelona,1,4,A
22/01/12,Osasuna,Valencia,1,1,D
22/01/12,Real Madrid,Ath Bilbao,4,1,H
22/01/12,Vallecano,Mallorca,0,1,A
23/01/12,Villarreal,Sp Gijon,3,0,H
28/01/12,Espanol,Mallorca,1,0,H
28/01/12,Real Madrid,Zaragoza,3,1,H
28/01/12,Vallecano,Ath Bilbao,2,3,A
28/01/12,Villarreal,Barcelona,0,0,D
29/01/12,Betis,Granada,1,2,A
29/01/12,Levante,Getafe,1,2,A
29/01/12,Malaga,Sevilla,2,1,H
29/01/12,Santander,Valencia,2,2,D
29/01/12,Sociedad,Sp Gijon,5,1,H
30/01/12,Osasuna,Ath Madrid,0,1,A
04/02/12,Ath Bilbao,Espanol,3,3,D
04/02/12,Barcelona,Sociedad,2,1,H
04/02/12,Getafe,Real Madrid,0,1,A
04/02/12,Levante,Santander,1,1,D
04/02/12,Mallorca,Betis,1,0,H
05/02/12,Ath Madrid,Valencia,0,0,D
05/02/12,Sevilla,Villarreal,1,2,A
05/02/12,Sp Gijon,Osasuna,1,1,D
05/02/12,Zaragoza,Vallecano,1,2,A
06/02/12,Granada,Malaga,2,1,H
11/02/12,Betis,Ath Bilbao,2,1,H
11/02/12,Osasuna,Barcelona,3,2,H
11/02/12,Santander,Ath Madrid,0,0,D
12/02/12,Espanol,Zaragoza,0,2,A
12/02/12,Malaga,Mallorca,3,1,H
12/02/12,Real Madrid,Levante,4,2,H
12/02/12,Valencia,Sp Gijon,4,0,H
12/02/12,Vallecano,Getafe,2,0,H
12/02/12,Villarreal,Granada,3,1,H
13/02/12,Sociedad,Sevilla,2,0,H
18/02/12,Getafe,Espanol,1,1,D
18/02/12,Real Madrid,Santander,4,0,H
18/02/12,Sevilla,Osasuna,2,0,H
19/02/12,Ath Bilbao,Malaga,3,0,H
19/02/12,Barcelona,Valencia,5,1,H
19/02/12,Granada,Sociedad,4,1,H
19/02/12,Levante,Vallecano,3,5,A
19/02/12,Mallorca,Villarreal,4,0,H
19/02/12,Sp Gijon,Ath Madrid,1,1,D
20/02/12,Zaragoza,Betis,0,2,A
25/02/12,Betis,Getafe,1,1,D
25/02/12,Espanol,Levante,1,2,A
25/02/12,Malaga,Zaragoza,5,1,H
25/02/12,Santander,Sp Gijon,1,1,D
26/02/12,Ath Madrid,Barcelona,1,2,A
26/02/12,Osasuna,Granada,2,1,H
26/02/12,Sociedad,Mallorca,1,0,H
26/02/12,Valencia,Sevilla,1,2,A
26/02/12,Vallecano,Real Madrid,0,1,A
26/02/12,Villarreal,Ath Bilbao,2,2,D
03/03/12,Barcelona,Sp Gijon,3,1,H
03/03/12,Getafe,Malaga,1,3,A
03/03/12,Mallorca,Osasuna,1,1,D
03/03/12,Sevilla,Ath Madrid,1,1,D
03/03/12,Vallecano,Santander,4,2,H
04/03/12,Ath Bilbao,Sociedad,2,0,H
04/03/12,Granada,Valencia,0,1,A
04/03/12,Real Madrid,Espanol,5,0,H
04/03/12,Zaragoza,Villarreal,2,1,H
05/03/12,Levante,Betis,3,1,H
10/03/12,Betis,Real Madrid,2,3,A
10/03/12,Malaga,Levante,1,0,H
10/03/12,Sociedad,Zaragoza,3,0,H
10/03/12,Sp Gijon,Sevilla,1,0,H
11/03/12,Ath Madrid,Granada,2,0,H
11/03/12,Espanol,Vallecano,5,1,H
11/03/12,Osasuna,Ath Bilbao,2,1,H
11/03/12,Santander,Barcelona,0,2,A
11/03/12,Valencia,Mallorca,2,2,D
12/03/12,Villarreal,Getafe,1,2,A
17/03/12,Getafe,Sociedad,1,0,H
17/03/12,Granada,Sp Gijon,2,1,H
17/03/12,Sevilla,Barcelona,0,2,A
17/03/12,Vallecano,Betis,3,0,H
17/03/12,Zaragoza,Osasuna,1,1,D
18/03/12,Ath Bilbao,Valencia,0,3,A
18/03/12,Levante,Villarreal,1,0,H
18/03/12,Mallorca,Ath Madrid,2,1,H
18/03/12,Real Madrid,Malaga,1,1,D
19/03/12,Espanol,Santander,3,1,H
20/03/12,Barcelona,Granada,5,3,H
20/03/12,Osasuna,Getafe,0,0,D
21/03/12,Ath Madrid,Ath Bilbao,2,1,H
21/03/12,Sociedad,Levante,1,3,A
21/03/12,Sp Gijon,Mallorca,2,3,A
21/03/12,Valencia,Zaragoza,1,2,A
21/03/12,Villarreal,Real Madrid,1,1,D
22/03/12,Betis,Espanol,1,1,D
22/03/12,Malaga,Vallecano,4,2,H
22/03/12,Santander,Sevilla,0,3,A
24/03/12,Getafe,Valencia,3,1,H
24/03/12,Mallorca,Barcelona,0,2,A
24/03/12,Real Madrid,Sociedad,5,1,H
25/03/12,Ath Bilbao,Sp Gijon,1,1,D
25/03/12,Betis,Santander,1,1,D
25/03/12,Espanol,Malaga,1,2,A
25/03/12,Levante,Osasuna,0,2,A
25/03/12,Vallecano,Villarreal,0,2,A
25/03/12,Zaragoza,Ath Madrid,1,0,H
26/03/12,Granada,Sevilla,0,3,A
31/03/12,Barcelona,Ath Bilbao,2,0,H
31/03/12,Malaga,Betis,0,2,A
31/03/12,Osasuna,Real Madrid,1,5,A
31/03/12,Santander,Granada,0,1,A
31/03/12,Sp Gijon,Zaragoza,1,2,A
01/04/12,Ath Madrid,Getafe,3,0,H
01/04/12,Sociedad,Vallecano,4,0,H
01/04/12,Valencia,Levante,1,1,D
01/04/12,Villarreal,Espanol,0,0,D
02/04/12,Sevilla,Mallorca,3,1,H
07/04/12,Betis,Villarreal,3,1,H
07/04/12,Espanol,Sociedad,2,2,D
07/04/12,Getafe,Sp Gijon,2,0,H
07/04/12,Vallecano,Osasuna,6,0,H
07/04/12,Zaragoza,Barcelona,1,4,A
08/04/12,Ath Bilbao,Sevilla,1,0,H
08/04/12,Levante,Ath Madrid,2,0,H
08/04/12,Mallorca,Granada,0,0,D
08/04/12,Real Madrid,Valencia,0,0,D
09/04/12,Malaga,Santander,3,0,H
10/04/12,Barcelona,Getafe,4,0,H
10/04/12,Osasuna,Espanol,2,0,H
10/04/12,Sociedad,Betis,1,1,D
11/04/12,Ath Madrid,Real Madrid,1,4,A
11/04/12,Granada,Ath Bilbao,2,2,D
11/04/12,Sp Gijon,Levante,3,2,H
11/04/12,Valencia,Vallecano,4,1,H
12/04/12,Santander,Mallorca,0,3,A
12/04/12,Sevilla,Zaragoza,3,0,H
12/04/12,Villarreal,Malaga,2,1,H
14/04/12,Levante,Barcelona,1,2,A
14/04/12,Real Madrid,Sp Gijon,3,1,H
15/04/12,Ath Bilbao,Mallorca,1,0,H
15/04/12,Betis,Osasuna,1,0,H
15/04/12,Espanol,Valencia,4,0,H
15/04/12,Malaga,Sociedad,1,1,D
15/04/12,Vallecano,Ath Madrid,0,1,A
15/04/12,Villarreal,Santander,1,1,D
15/04/12,Zaragoza,Granada,1,0,H
16/04/12,Getafe,Sevilla,5,1,H
21/04/12,Barcelona,Real Madrid,1,2,A
21/04/12,Mallorca,Zaragoza,1,0,H
21/04/12,Sevilla,Levante,1,1,D
21/04/12,Sp Gijon,Vallecano,2,1,H
22/04/12,Ath Madrid,Espanol,3,1,H
22/04/12,Granada,Getafe,1,0,H
22/04/12,Santander,Ath Bilbao,0,1,A
22/04/12,Sociedad,Villarreal,1,1,D
22/04/12,Valencia,Betis,4,0,H
23/04/12,Osasuna,Malaga,1,1,D
28/04/12,Espanol,Sp Gijon,0,3,A
28/04/12,Getafe,Mallorca,1,3,A
28/04/12,Levante,Granada,3,1,H
28/04/12,Sociedad,Santander,3,0,H
28/04/12,Villarreal,Osasuna,1,1,D
29/04/12,Betis,Ath Madrid,2,2,D
29/04/12,Malaga,Valencia,1,0,H
29/04/12,Real Madrid,Sevilla,3,0,H
29/04/12,Vallecano,Barcelona,0,7,A
29/04/12,Zaragoza,Ath Bilbao,2,0,H
01/05/12,Getafe,Santander,1,1,D
01/05/12,Granada,Espanol,2,1,H
01/05/12,Sp Gijon,Villarreal,2,3,A
02/05/12,Ath Bilbao,Real Madrid,0,3,A
02/05/12,Ath Madrid,Sociedad,1,1,D
02/05/12,Barcelona,Malaga,4,1,H
02/05/12,Mallorca,Vallecano,1,0,H
02/05/12,Sevilla,Betis,1,2,A
02/05/12,Valencia,Osasuna,4,0,H
02/05/12,Zaragoza,Levante,1,0,H
05/05/12,Ath Bilbao,Getafe,0,0,D
05/05/12,Ath Madrid,Malaga,2,1,H
05/05/12,Barcelona,Espanol,4,0,H
05/05/12,Granada,Real Madrid,1,2,A
05/05/12,Mallorca,Levante,1,0,H
05/05/12,Osasuna,Sociedad,1,0,H
05/05/12,Sevilla,Vallecano,5,2,H
05/05/12,Sp Gijon,Betis,2,1,H
05/05/12,Valencia,Villarreal,1,0,H
05/05/12,Zaragoza,Santander,2,1,H
12/05/12,Betis,Barcelona,2,2,D
12/05/12,Sociedad,Valencia,1,0,H
13/05/12,Espanol,Sevilla,1,1,D
13/05/12,Getafe,Zaragoza,0,2,A
13/05/12,Levante,Ath Bilbao,3,0,H
13/05/12,Malaga,Sp Gijon,1,0,H
13/05/12,Real Madrid,Mallorca,4,1,H
13/05/12,Santander,Osasuna,2,4,A
13/05/12,Vallecano,Granada,1,0,H
13/05/12,Villarreal,Ath Madrid,0,1,A
18/08/12,Celta,Malaga,0,1,A
18/08/12,Mallorca,Espanol,2,1,H
18/08/12,Sevilla,Getafe,2,1,H
19/08/12,Ath Bilbao,Betis,3,5,A
19/08/12,Barcelona,Sociedad,5,1,H
19/08/12,Levante,Ath Madrid,1,1,D
19/08/12,Real Madrid,Valencia,1,1,D
20/08/12,La Coruna,Osasuna,2,0,H
20/08/12,Vallecano,Granada,1,0,H
20/08/12,Zaragoza,Valladolid,0,1,A
25/08/12,Betis,Vallecano,1,2,A
25/08/12,Espanol,Zaragoza,1,2,A
25/08/12,Malaga,Mallorca,1,1,D
25/08/12,Sociedad,Celta,2,1,H
26/08/12,Getafe,Real Madrid,2,1,H
26/08/12,Granada,Sevilla,1,1,D
26/08/12,Osasuna,Barcelona,1,2,A
26/08/12,Valencia,La Coruna,3,3,D
27/08/12,Ath Madrid,Ath Bilbao,4,0,H
27/08/12,Valladolid,Levante,2,0,H
01/09/12,Celta,Osasuna,2,0,H
01/09/12,La Coruna,Getafe,1,1,D
01/09/12,Mallorca,Sociedad,1,0,H
01/09/12,Zaragoza,Malaga,0,1,A
02/09/12,Ath Bilbao,Valladolid,2,0,H
02/09/12,Barcelona,Valencia,1,0,H
02/09/12,Levante,Espanol,3,2,H
02/09/12,Real Madrid,Granada,3,0,H
02/09/12,Vallecano,Sevilla,0,0,D
15/09/12,Getafe,Barcelona,1,4,A
15/09/12,Malaga,Levante,3,1,H
15/09/12,Sevilla,Real Madrid,1,0,H
15/09/12,Valencia,Celta,2,1,H
16/09/12,Ath Madrid,Vallecano,4,3,H
16/09/12,Espanol,Ath Bilbao,3,3,D
16/09/12,Granada,La Coruna,1,1,D
16/09/12,Osasuna,Mallorca,1,1,D
16/09/12,Sociedad,Zaragoza,2,0,H
17/09/12,Valladolid,Betis,0,1,A
22/09/12,Barcelona,Granada,2,0,H
22/09/12,Betis,Espanol,1,0,H
22/09/12,Celta,Getafe,2,1,H
22/09/12,Zaragoza,Osasuna,3,1,H
23/09/12,Ath Bilbao,Malaga,0,0,D
23/09/12,Ath Madrid,Valladolid,2,1,H
23/09/12,Levante,Sociedad,2,1,H
23/09/12,Mallorca,Valencia,2,0,H
24/09/12,La Coruna,Sevilla,0,2,A
24/09/12,Vallecano,Real Madrid,0,2,A
26/09/12,Betis,Ath Madrid,2,4,A
29/09/12,Malaga,Betis,4,0,H
29/09/12,Sevilla,Barcelona,2,3,A
29/09/12,Sociedad,Ath Bilbao,2,0,H
29/09/12,Valencia,Zaragoza,2,0,H
30/09/12,Espanol,Ath Madrid,0,1,A
30/09/12,Granada,Celta,2,1,H
30/09/12,Osasuna,Levante,4,0,H
30/09/12,Real Madrid,La Coruna,5,1,H
30/09/12,Valladolid,Vallecano,6,1,H
01/10/12,Getafe,Mallorca,1,0,H
05/10/12,Celta,Sevilla,2,0,H
06/10/12,Betis,Sociedad,2,0,H
06/10/12,Valladolid,Espanol,1,1,D
06/10/12,Vallecano,La Coruna,2,1,H
06/10/12,Zaragoza,Getafe,0,1,A
07/10/12,Ath Bilbao,Osasuna,1,0,H
07/10/12,Ath Madrid,Malaga,2,1,H
07/10/12,Barcelona,Real Madrid,2,2,D
07/10/12,Levante,Valencia,1,0,H
07/10/12,Mallorca,Granada,1,2,A
20/10/12,La Coruna,Barcelona,4,5,A
20/10/12,Malaga,Valladolid,2,1,H
20/10/12,Real Madrid,Celta,2,0,H
20/10/12,Valencia,Ath Bilbao,3,2,H
21/10/12,Espanol,Vallecano,3,2,H
21/10/12,Getafe,Levante,0,1,A
21/10/12,Granada,Zaragoza,1,2,A
21/10/12,Osasuna,Betis,0,0,D
21/10/12,Sociedad,Ath Madrid,0,1,A
22/10/12,Sevilla,Mallorca,3,2,H
27/10/12,Betis,Valencia,1,0,H
27/10/12,Celta,La Coruna,1,1,D
27/10/12,Espanol,Malaga,0,0,D
27/10/12,Vallecano,Barcelona,0,5,A
28/10/12,Ath Bilbao,Getafe,1,2,A
28/10/12,Ath Madrid,Osasuna,3,1,H
28/10/12,Levante,Granada,3,1,H
28/10/12,Mallorca,Real Madrid,0,5,A
28/10/12,Zaragoza,Sevilla,2,1,H
29/10/12,Valladolid,Sociedad,2,2,D
03/11/12,Barcelona,Celta,3,1,H
03/11/12,Malaga,Vallecano,1,2,A
03/11/12,Real Madrid,Zaragoza,4,0,H
03/11/12,Valencia,Ath Madrid,2,0,H
04/11/12,Granada,Ath Bilbao,1,2,A
04/11/12,La Coruna,Mallorca,1,0,H
04/11/12,Osasuna,Valladolid,0,1,A
04/11/12,Sevilla,Levante,0,0,D
04/11/12,Sociedad,Espanol,0,1,A
05/11/12,Getafe,Betis,2,4,A
09/11/12,Betis,Granada,1,2,A
10/11/12,Espanol,Osasuna,0,3,A
10/11/12,Malaga,Sociedad,1,2,A
10/11/12,Vallecano,Celta,3,2,H
10/11/12,Zaragoza,La Coruna,5,3,H
11/11/12,Ath Bilbao,Sevilla,2,1,H
11/11/12,Ath Madrid,Getafe,2,0,H
11/11/12,Levante,Real Madrid,1,2,A
11/11/12,Mallorca,Barcelona,2,4,A
11/11/12,Valladolid,Valencia,1,1,D
17/11/12,Barcelona,Zaragoza,3,1,H
17/11/12,Osasuna,Malaga,0,0,D
17/11/12,Real Madrid,Ath Bilbao,5,1,H
17/11/12,Valencia,Espanol,2,1,H
18/11/12,Celta,Mallorca,1,1,D
18/11/12,Getafe,Valladolid,2,1,H
18/11/12,Granada,Ath Madrid,0,1,A
18/11/12,La Coruna,Levante,0,2,A
18/11/12,Sevilla,Betis,5,1,H
19/11/12,Sociedad,Vallecano,4,0,H
23/11/12,Sociedad,Osasuna,0,0,D
24/11/12,Betis,Real Madrid,1,0,H
24/11/12,Malaga,Valencia,4,0,H
24/11/12,Valladolid,Granada,1,0,H
24/11/12,Vallecano,Mallorca,2,0,H
25/11/12,Ath Bilbao,La Coruna,1,1,D
25/11/12,Ath Madrid,Sevilla,4,0,H
25/11/12,Espanol,Getafe,0,2,A
25/11/12,Levante,Barcelona,0,4,A
26/11/12,Zaragoza,Celta,0,1,A
30/11/12,Osasuna,Vallecano,1,0,H
01/12/12,Barcelona,Ath Bilbao,5,1,H
01/12/12,Getafe,Malaga,1,0,H
01/12/12,Real Madrid,Ath Madrid,2,0,H
01/12/12,Valencia,Sociedad,2,5,A
02/12/12,Celta,Levante,1,1,D
02/12/12,Granada,Espanol,0,0,D
02/12/12,La Coruna,Betis,2,3,A
02/12/12,Mallorca,Zaragoza,1,1,D
03/12/12,Sevilla,Valladolid,1,2,A
07/12/12,Espanol,Sevilla,2,2,D
08/12/12,Malaga,Granada,4,0,H
08/12/12,Osasuna,Valencia,0,1,A
08/12/12,Sociedad,Getafe,1,1,D
08/12/12,Valladolid,Real Madrid,2,3,A
09/12/12,Ath Bilbao,Celta,1,0,H
09/12/12,Ath Madrid,La Coruna,6,0,H
09/12/12,Betis,Barcelona,1,2,A
09/12/12,Levante,Mallorca,4,0,H
10/12/12,Vallecano,Zaragoza,0,2,A
15/12/12,Getafe,Osasuna,1,1,D
15/12/12,Granada,Sociedad,0,0,D
15/12/12,Mallorca,Ath Bilbao,0,1,A
15/12/12,Sevilla,Malaga,0,2,A
16/12/12,Barcelona,Ath Madrid,4,1,H
16/12/12,Real Madrid,Espanol,2,2,D
16/12/12,Valencia,Vallecano,0,1,A
16/12/12,Zaragoza,Levante,0,1,A
17/12/12,Celta,Betis,0,1,A
17/12/12,La Coruna,Valladolid,0,0,D
20/12/12,Espanol,La Coruna,2,0,H
20/12/12,Sociedad,Sevilla,2,1,H
20/12/12,Vallecano,Levante,3,0,H
21/12/12,Ath Madrid,Celta,1,0,H
21/12/12,Valencia,Getafe,4,2,H
22/12/12,Ath Bilbao,Zaragoza,0,2,A
22/12/12,Betis,Mallorca,1,2,A
22/12/12,Malaga,Real Madrid,3,2,H
22/12/12,Osasuna,Granada,1,2,A
22/12/12,Valladolid,Barcelona,1,3,A
04/01/13,Zaragoza,Betis,1,2,A
05/01/13,Granada,Valencia,1,2,A
05/01/13,La Coruna,Malaga,1,0,H
05/01/13,Levante,Ath Bilbao,3,1,H
05/01/13,Sevilla,Osasuna,1,0,H
06/01/13,Barcelona,Espanol,4,0,H
06/01/13,Celta,Valladolid,3,1,H
06/01/13,Mallorca,Ath Madrid,1,1,D
06/01/13,Real Madrid,Sociedad,4,3,H
07/01/13,Vallecano,Getafe,3,1,H
11/01/13,Ath Bilbao,Vallecano,1,2,A
12/01/13,Espanol,Celta,1,0,H
12/01/13,Osasuna,Real Madrid,0,0,D
12/01/13,Valencia,Sevilla,2,0,H
12/01/13,Valladolid,Mallorca,3,1,H
13/01/13,Ath Madrid,Zaragoza,2,0,H
13/01/13,Betis,Levante,2,0,H
13/01/13,Malaga,Barcelona,1,3,A
13/01/13,Sociedad,La Coruna,1,1,D
14/01/13,Getafe,Granada,2,2,D
18/01/13,Espanol,Mallorca,3,2,H
19/01/13,Getafe,Sevilla,1,1,D
19/01/13,Granada,Vallecano,2,0,H
19/01/13,Malaga,Celta,1,1,D
19/01/13,Sociedad,Barcelona,3,2,H
20/01/13,Ath Madrid,Levante,2,0,H
20/01/13,Osasuna,La Coruna,2,1,H
20/01/13,Valencia,Real Madrid,0,5,A
20/01/13,Valladolid,Zaragoza,2,0,H
21/01/13,Betis,Ath Bilbao,1,1,D
26/01/13,Celta,Sociedad,1,1,D
26/01/13,La Coruna,Valencia,2,3,A
26/01/13,Levante,Valladolid,2,1,H
26/01/13,Zaragoza,Espanol,0,0,D
27/01/13,Ath Bilbao,Ath Madrid,3,0,H
27/01/13,Barcelona,Osasuna,5,1,H
27/01/13,Mallorca,Malaga,2,3,A
27/01/13,Real Madrid,Getafe,4,0,H
27/01/13,Vallecano,Betis,3,0,H
28/01/13,Sevilla,Granada,3,0,H
01/02/13,Valladolid,Ath Bilbao,2,2,D
02/02/13,Espanol,Levante,3,2,H
02/02/13,Getafe,La Coruna,3,1,H
02/02/13,Granada,Real Madrid,1,0,H
02/02/13,Osasuna,Celta,1,0,H
03/02/13,Ath Madrid,Betis,1,0,H
03/02/13,Malaga,Zaragoza,1,1,D
03/02/13,Sevilla,Vallecano,2,1,H
03/02/13,Sociedad,Mallorca,3,0,H
03/02/13,Valencia,Barcelona,1,1,D
09/02/13,Celta,Valencia,0,1,A
09/02/13,La Coruna,Granada,0,3,A
09/02/13,Levante,Malaga,1,2,A
09/02/13,Mallorca,Osasuna,1,1,D
09/02/13,Real Madrid,Sevilla,4,1,H
10/02/13,Ath Bilbao,Espanol,0,4,A
10/02/13,Barcelona,Getafe,6,1,H
10/02/13,Vallecano,Ath Madrid,2,1,H
10/02/13,Zaragoza,Sociedad,1,2,A
11/02/13,Betis,Valladolid,0,0,D
15/02/13,Sevilla,La Coruna,3,1,H
16/02/13,Getafe,Celta,3,1,H
16/02/13,Granada,Barcelona,1,2,A
16/02/13,Malaga,Ath Bilbao,1,0,H
16/02/13,Osasuna,Zaragoza,1,0,H
17/02/13,Espanol,Betis,1,0,H
17/02/13,Real Madrid,Vallecano,2,0,H
17/02/13,Sociedad,Levante,1,1,D
17/02/13,Valencia,Mallorca,2,0,H
17/02/13,Valladolid,Ath Madrid,0,3,A
22/02/13,Ath Bilbao,Sociedad,1,3,A
23/02/13,Barcelona,Sevilla,2,1,H
23/02/13,La Coruna,Real Madrid,1,2,A
23/02/13,Mallorca,Getafe,1,3,A
23/02/13,Zaragoza,Valencia,2,2,D
24/02/13,Ath Madrid,Espanol,1,0,H
24/02/13,Betis,Malaga,3,0,H
