Movie Title,Year of Realease,Genre,Movie Rating,Duration(Mins),Gross(Million),Classification
Avatar,2009,"Action,Adventure,Fantasy",7.8,162,760.51,A
Avengers: Endgame,2019,"Action,Adventure,Drama",8.4,181,858.37,C
Titanic,1997,"Drama,Romance",7.9,194,659.33,B15
Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,138,936.66,B
Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,149,678.82,AA
Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.3,148,804.75,D
Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,124,652.27,B
The Lion King,2019,"Animation,Adventure,Drama",6.8,118,543.64,A
The Avengers,2012,"Action,Adventure,Sci-Fi",8,143,623.28,B
Fast & Furious 7,2015,"Action,Crime,Thriller",7.1,137,353.01,B15
Frozen II,2019,"Animation,Adventure,Comedy",6.8,103,477.37,A
Top Gun: Maverick,2022,"Action,Drama",8.4,130,125.37,A
Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",7.3,141,459.01,B
Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,134,700.06,D
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,130,381.01,B
Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy",6.9,152,620.18,C
Jurassic World: Fallen Kingdom,2018,"Action,Adventure,Sci-Fi",6.1,128,417.72,D
Frozen,2013,"Animation,Adventure,Comedy",7.4,102,400.74,B
Beauty and the Beast,2017,"Adventure,Family,Fantasy",7.1,129,504.01,A
Incredibles 2,2018,"Animation,Action,Adventure",7.6,118,608.58,C
The Fate of the Furious,2017,"Action,Crime,Thriller",6.6,136,226.01,C
Iron Man Three,2013,"Action,Adventure,Sci-Fi",7.1,130,409.01,C
Minions,2015,"Animation,Adventure,Comedy",6.4,91,336.05,B15
Captain America: Civil War,2016,"Action,Adventure,Sci-Fi",7.8,147,408.08,C
Aquaman,2018,"Action,Adventure,Fantasy",6.8,143,335.06,B
The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",9,201,377.85,B
Spider-Man: Far from Home,2019,"Action,Adventure,Sci-Fi",7.4,129,390.53,D
Captain Marvel,2019,"Action,Adventure,Sci-Fi",6.8,123,426.83,C
Transformers: Dark of the Moon,2011,"Action,Adventure,Sci-Fi",6.2,154,352.39,C
Skyfall,2012,"Action,Adventure,Thriller",7.8,143,304.36,B15
Transformers: Age of Extinction,2014,"Action,Adventure,Sci-Fi",5.6,165,245.44,D
Jurassic Park,1993,"Action,Adventure,Sci-Fi",8.2,127,402.45,B
The Dark Knight Rises,2012,"Action,Drama",8.4,164,448.14,D
Joker,2019,"Crime,Drama,Thriller",8.4,122,335.45,C
Star Wars: Episode IX - The Rise of Skywalker,2019,"Action,Adventure,Fantasy",6.5,141,515.2,AA
Toy Story 4,2019,"Animation,Adventure,Comedy",7.7,100,434.04,D
Toy Story 3,2010,"Animation,Adventure,Comedy",8.3,103,415,D
Pirates of the Caribbean: Dead Man's Chest,2006,"Action,Adventure,Fantasy",7.3,151,423.32,C
The Lion King,1994,"Animation,Adventure,Drama",8.5,88,422.78,D
Rogue One,2016,"Action,Adventure,Sci-Fi",7.8,133,532.18,B
Aladdin,2019,"Adventure,Comedy,Family",6.9,128,355.56,D
Pirates of the Caribbean: On Stranger Tides,2011,"Action,Adventure,Fantasy",6.6,137,241.06,C
Despicable Me 3,2017,"Animation,Adventure,Comedy",6.2,89,264.62,A
Finding Dory,2016,"Animation,Adventure,Comedy",7.3,97,486.3,D
Star Wars: Episode I - The Phantom Menace,1999,"Action,Adventure,Fantasy",6.5,136,474.54,A
Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.4,108,334.19,AA
Zootopia,2016,"Animation,Adventure,Comedy",8,108,341.27,B
Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy",7.6,152,317.58,C
The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy",7.8,169,303,A
The Dark Knight,2008,"Action,Crime,Drama",9,152,534.86,B15
Jurassic World Dominion,2022,"Action,Adventure,Sci-Fi",5.7,147,422.78,C
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure,Family,Fantasy",7.7,146,295.98,C
Despicable Me 2,2013,"Animation,Adventure,Comedy",7.3,98,368.06,D
The Jungle Book,2016,"Adventure,Drama,Family",7.4,106,364,B
Jumanji: Welcome to the Jungle,2017,"Action,Adventure,Comedy",6.9,119,404.52,B15
The Hobbit: The Battle of the Five Armies,2014,"Adventure,Fantasy",7.4,144,255.12,D
Pirates of the Caribbean: At World's End,2007,"Action,Adventure,Fantasy",7.1,169,309.42,B
The Hobbit: The Desolation of Smaug,2013,"Adventure,Fantasy",7.8,161,258.37,C
Doctor Strange in the Multiverse of Madness,2022,"Action,Adventure,Fantasy",7,126,216.43,D
The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama",8.8,179,342.55,A
Harry Potter and the Order of the Phoenix,2007,"Action,Adventure,Family",7.5,138,292,C
Finding Nemo,2003,"Animation,Adventure,Comedy",8.2,100,380.84,A
Harry Potter and the Half-Blood Prince,2009,"Action,Adventure,Family",7.6,153,301.96,AA
Shrek 2,2004,"Animation,Adventure,Comedy",7.3,93,436.47,B
Bohemian Rhapsody,2018,"Biography,Drama,Music",7.9,134,216.43,C
Chang jin hu,2021,"Action,Drama,History",5.4,176,0.34,A
The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",8.8,178,315.54,D
Harry Potter and the Goblet of Fire,2005,"Adventure,Family,Fantasy",7.7,157,290.01,A
Spider-Man 3,2007,"Action,Adventure,Sci-Fi",6.3,139,336.53,B
Minions: The Rise of Gru,2022,"Animation,Adventure,Comedy",6.6,87,310.68,B
Ice Age: Dawn of the Dinosaurs,2009,"Animation,Adventure,Comedy",6.9,94,196.57,B
Spectre,2015,"Action,Adventure,Thriller",6.8,148,200.07,A
Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi",7.4,133,334.2,B15
Harry Potter and the Chamber of Secrets,2002,"Adventure,Family,Fantasy",7.4,161,261.99,A
Ice Age: Continental Drift,2012,"Animation,Adventure,Comedy",6.5,88,161.32,D
The Secret Life of Pets,2016,"Animation,Adventure,Comedy",6.5,87,368.38,C
Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi",6.4,152,330.36,C
Zhan lang II,2017,"Action,Adventure,Drama",5.9,123,2.72,B
Star Wars: Episode III - Revenge of the Sith,2005,"Action,Adventure,Fantasy",7.6,140,380.26,C
The Hunger Games: Catching Fire,2013,"Action,Adventure,Sci-Fi",7.5,146,424.67,D
Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",7.6,136,389.81,C
Inside Out,2015,"Animation,Adventure,Comedy",8.2,95,356.46,AA
Venom,2018,"Action,Adventure,Sci-Fi",6.6,112,213.52,C
Thor: Ragnarok,2017,"Action,Adventure,Comedy",7.9,130,315.06,C
Inception,2010,"Action,Adventure,Sci-Fi",8.8,148,292.58,D
Transformers: Revenge of the Fallen,2009,"Action,Adventure,Sci-Fi",5.9,149,402.11,B
The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure,Drama,Fantasy",5.5,115,292.3,B
Spider-Man,2002,"Action,Adventure,Sci-Fi",7.4,121,403.71,C
Wonder Woman,2017,"Action,Adventure,Fantasy",7.4,141,412.56,D
"Ni hao, Li Huanying",2021,"Comedy,Romance",7,128,409.01,D
Independence Day,1996,"Action,Adventure,Sci-Fi",7,145,306.17,B15
Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy",7.2,132,234.04,D
Shrek the Third,2007,"Animation,Adventure,Comedy",6.1,93,320.71,C
Coco,2017,"Animation,Adventure,Comedy",8.4,105,209.73,D
Jumanji: The Next Level,2019,"Action,Adventure,Comedy",6.7,123,316.83,A
Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Family,Fantasy",7.9,142,249.36,C
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action,Adventure,Fantasy",6.5,129,172.56,B
E.T. the Extra-Terrestrial,1982,"Adventure,Family,Sci-Fi",7.9,115,435.11,D
Mission: Impossible - Fallout,2018,"Action,Adventure,Thriller",7.7,147,220.16,A
2012,2009,"Action,Adventure,Sci-Fi",5.8,158,166.11,AA
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action,Adventure",6.2,122,317.1,D
Spider-Man 2,2004,"Action,Adventure,Sci-Fi",7.4,127,373.59,B15
Furious 6,2013,"Action,Adventure,Crime",7,130,238.68,A
Deadpool 2,2018,"Action,Adventure,Comedy",7.7,119,324.59,B
Deadpool,2016,"Action,Adventure,Comedy",8,108,363.07,A
Star Wars,1977,"Action,Adventure,Fantasy",8.6,121,322.74,C
No Time to Die,2021,"Action,Adventure,Thriller",7.3,163,160.87,D
Guardians of the Galaxy,2014,"Action,Adventure,Comedy",8,121,333.18,C
The Batman,2022,"Action,Crime,Drama",7.9,176,380.26,A
The Da Vinci Code,2006,"Mystery,Thriller",6.6,149,217.54,A
Fast & Furious Presents: Hobbs & Shaw,2019,"Action,Adventure,Thriller",6.5,137,173.96,D
Maleficent,2014,"Adventure,Family,Fantasy",6.9,97,241.41,D
The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",6.9,136,262.03,C
The Hunger Games: Mockingjay - Part 1,2014,"Action,Adventure,Sci-Fi",6.6,123,337.14,D
Shrek Forever After,2010,"Animation,Adventure,Comedy",6.3,93,238.37,B
Thor: Love and Thunder,2022,"Action,Adventure,Comedy",6.4,118,259.77,A
Madagascar 3: Europe's Most Wanted,2012,"Animation,Adventure,Comedy",6.8,95,216.39,D
Suicide Squad,2016,"Action,Adventure,Fantasy",5.9,123,325.1,B15
X-Men: Days of Future Past,2014,"Action,Adventure,Sci-Fi",7.9,132,233.92,D
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure,Family,Fantasy",6.9,143,291.71,AA
Monsters University,2013,"Animation,Adventure,Comedy",7.2,104,268.49,B
The Matrix Reloaded,2003,"Action,Sci-Fi",7.2,138,281.49,A
Up,2009,"Animation,Adventure,Comedy",8.3,96,293,D
Ne Zha zhi mo tong jiang shi,2019,"Animation,Action,Adventure",7.4,110,3.7,C
F9,2021,"Action,Crime,Thriller",5.2,143,173.2,B
Gravity,2013,"Drama,Sci-Fi,Thriller",7.7,91,274.09,A
Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",7.8,136,259.77,D
The Twilight Saga: Breaking Dawn - Part 1,2011,"Adventure,Drama,Fantasy",4.9,117,281.29,A
The Twilight Saga: New Moon,2009,"Adventure,Drama,Fantasy",4.7,130,296.62,D
Dawn of the Planet of the Apes,2014,"Action,Adventure,Drama",7.6,130,208.55,C
Transformers,2007,"Action,Adventure,Sci-Fi",7,144,319.25,C
The Amazing Spider-Man 2,2014,"Action,Adventure,Sci-Fi",6.6,142,202.85,B
It,2017,Horror,7.3,135,327.48,D
Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,169,188.02,B15
Liu lang di qiu,2019,"Action,Adventure,Sci-Fi",5.9,125,5.88,C
The Twilight Saga: Eclipse,2010,"Action,Adventure,Drama",5,124,300.53,C
Mission: Impossible - Ghost Protocol,2011,"Action,Thriller",7.4,132,209.4,D
The Hunger Games,2012,"Action,Adventure,Sci-Fi",7.2,142,408.01,B
Tang ren jie tan an 3,2021,"Action,Adventure,Comedy",5.6,136,5.88,C
Mission: Impossible - Rogue Nation,2015,"Action,Adventure,Thriller",7.4,131,195.04,B
Forrest Gump,1994,"Drama,Romance",8.8,142,330.25,C
Doctor Strange,2016,"Action,Adventure,Fantasy",7.5,115,232.64,D
The Sixth Sense,1999,"Drama,Mystery,Thriller",8.2,107,293.51,B
Man of Steel,2013,"Action,Adventure,Sci-Fi",7.1,143,291.05,C
Ice Age: The Meltdown,2006,"Animation,Adventure,Comedy",6.8,91,195.33,C
Kung Fu Panda 2,2011,"Animation,Action,Adventure",7.2,90,165.25,C
Justice League,2017,"Action,Adventure,Fantasy",6.1,120,229.02,B
Big Hero 6,2014,"Animation,Action,Adventure",7.8,102,222.53,A
Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure,Family,Fantasy",6.5,134,159.56,D
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action,Adventure,Fantasy",8.1,143,305.41,D
Star Wars: Episode II - Attack of the Clones,2002,"Action,Adventure,Fantasy",6.6,142,310.68,B
The Hunger Games: Mockingjay - Part 2,2015,"Action,Adventure,Sci-Fi",6.5,137,281.72,B
Thor: The Dark World,2013,"Action,Adventure,Fantasy",6.8,112,206.36,C
Moana,2016,"Animation,Adventure,Comedy",7.6,107,248.76,D
Sing,2016,"Animation,Comedy,Family",7.1,108,270.4,D
Kung Fu Panda,2008,"Animation,Action,Adventure",7.6,92,215.43,D
The Incredibles,2004,"Animation,Action,Adventure",8,115,261.44,A
The Martian,2015,"Adventure,Drama,Sci-Fi",8,144,228.43,B
Hancock,2008,"Action,Drama,Fantasy",6.4,92,227.95,AA
Chang jin hu zhi shui men qiao,2022,"Action,Drama,History",5.4,153,126.66,D
Fast Five,2011,"Action,Crime,Thriller",7.3,130,209.84,B15
Men in Black 3,2012,"Action,Adventure,Comedy",6.8,106,179.02,B
Iron Man 2,2010,"Action,Adventure,Sci-Fi",6.9,124,312.43,B
Ratatouille,2007,"Animation,Adventure,Comedy",8.1,111,206.45,D
Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",7,118,216.65,B
How to Train Your Dragon 2,2014,"Animation,Action,Adventure",7.8,102,177,B15
Logan,2017,"Action,Drama,Sci-Fi",8.1,137,226.28,A
The Lost World: Jurassic Park,1997,"Action,Adventure,Sci-Fi",6.5,129,229.09,A
Casino Royale,2006,"Action,Adventure,Thriller",8,144,167.45,A
The Passion of the Christ,2004,Drama,7.2,127,370.78,D
Mamma Mia!,2008,"Comedy,Musical,Romance",6.5,108,144.13,B
Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,127,124.99,B
Transformers: The Last Knight,2017,"Action,Adventure,Sci-Fi",5.2,154,130.17,B15
Madagascar: Escape 2 Africa,2008,"Animation,Adventure,Comedy",6.6,89,180.01,B
War of the Worlds,2005,"Action,Adventure,Sci-Fi",6.5,116,234.28,A
Tangled,2010,"Animation,Adventure,Comedy",7.7,100,200.82,B
Quantum of Solace,2008,"Action,Adventure,Thriller",6.6,106,168.37,B15
Men in Black,1997,"Action,Adventure,Comedy",7.3,98,250.69,B
The Croods,2013,"Animation,Adventure,Comedy",7.2,98,187.17,D
The Hangover Part II,2011,Comedy,6.4,102,254.46,C
Iron Man,2008,"Action,Adventure,Sci-Fi",7.9,126,318.41,B
I Am Legend,2007,"Action,Drama,Sci-Fi",7.2,101,256.39,D
Ready Player One,2018,"Action,Adventure,Sci-Fi",7.4,140,137.69,B
"Monsters, Inc.",2001,"Animation,Adventure,Comedy",8.1,92,289.92,D
Hong hai xing dong,2018,"Action,Drama,Thriller",6.6,142,1.54,D
Night at the Museum,2006,"Adventure,Comedy,Family",6.4,108,250.86,AA
Fifty Shades of Grey,2015,"Drama,Romance,Thriller",4.1,125,166.17,D
Kong: Skull Island,2017,"Action,Adventure,Fantasy",6.6,118,168.05,C
The Smurfs,2011,"Animation,Adventure,Comedy",5.4,103,142.61,B15
Cars 2,2011,"Animation,Adventure,Comedy",6.2,106,191.45,C
King Kong,2005,"Action,Adventure,Drama",7.2,187,218.08,B
Puss in Boots,2011,"Animation,Adventure,Comedy",6.6,90,149.26,C
Mei ren yu,2016,"Comedy,Drama,Fantasy",6.2,94,3.23,C
Armageddon,1998,"Action,Adventure,Sci-Fi",6.7,151,201.57,C
The Day After Tomorrow,2004,"Action,Adventure,Sci-Fi",6.4,124,186.74,B
Ted,2012,Comedy,6.9,106,218.82,B15
American Sniper,2014,"Action,Biography,Drama",7.3,133,350.13,A
Mission: Impossible II,2000,"Action,Adventure,Thriller",6.1,123,215.41,D
Tang ren jie tan an 2,2018,"Action,Comedy,Mystery",6.1,121,1.98,C
X-Men: Apocalypse,2016,"Action,Adventure,Sci-Fi",6.9,144,155.44,A
Sherlock Holmes: A Game of Shadows,2011,"Action,Adventure,Mystery",7.4,129,186.85,D
Despicable Me,2010,"Animation,Adventure,Comedy",7.6,95,251.51,D
Cinderella,2015,"Adventure,Drama,Family",6.9,105,201.15,B
Madagascar,2005,"Animation,Adventure,Comedy",6.9,86,193.6,B
World War Z,2013,"Action,Adventure,Horror",7,116,202.36,C
Brave,2012,"Animation,Adventure,Comedy",7.1,93,237.28,A
The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,124,290.48,A
The Simpsons Movie,2007,"Animation,Adventure,Comedy",7.3,87,183.14,B
The Revenant,2015,"Action,Adventure,Drama",8,156,183.64,B15
The Meg,2018,"Action,Horror,Sci-Fi",5.6,113,143.01,C
Ralph Breaks the Internet,2018,"Animation,Adventure,Comedy",7,112,201.09,A
Hotel Transylvania 3: Summer Vacation,2018,"Animation,Adventure,Comedy",6.3,97,167.51,D
The Boss Baby,2017,"Animation,Adventure,Comedy",6.3,97,175,A
Dunkirk,2017,"Action,Drama,History",7.8,106,188.37,B
Godzilla,2014,"Action,Adventure,Sci-Fi",6.4,123,200.68,C
How to Train Your Dragon: The Hidden World,2019,"Animation,Action,Adventure",7.4,104,160.8,D
Sherlock Holmes,2009,"Action,Adventure,Mystery",7.6,128,209.03,D
Meet the Fockers,2004,"Comedy,Romance",6.3,115,279.26,AA
WALL·E,2008,"Animation,Adventure,Family",8.4,98,223.81,A
Kung Fu Panda 3,2016,"Animation,Action,Adventure",7.1,95,143.53,C
Terminator 2: Judgment Day,1991,"Action,Sci-Fi",8.6,137,204.84,C
Ant-Man,2015,"Action,Adventure,Comedy",7.3,117,180.2,D
The Grinch,2018,"Animation,Comedy,Family",6.3,85,270.62,D
Venom: Let There Be Carnage,2021,"Action,Adventure,Sci-Fi",5.9,97,213.55,B
Ghost,1990,"Drama,Fantasy,Romance",7.1,127,217.63,D
Aladdin,1992,"Animation,Adventure,Comedy",8,90,217.35,C
Rio 2,2014,"Animation,Adventure,Comedy",6.3,101,131.54,D
Troy,2004,"Drama,History",7.3,163,133.38,D
Toy Story 2,1999,"Animation,Adventure,Comedy",7.9,92,245.85,A
How to Train Your Dragon,2010,"Animation,Action,Adventure",8.1,98,217.58,B15
Twister,1996,"Action,Adventure,Thriller",6.4,113,241.72,D
Oz the Great and Powerful,2013,"Adventure,Family,Fantasy",6.3,130,234.91,D
Clash of the Titans,2010,"Action,Adventure,Fantasy",5.8,106,163.21,A
Maleficent: Mistress of Evil,2019,"Adventure,Family,Fantasy",6.6,119,113.93,B
War for the Planet of the Apes,2017,"Action,Adventure,Drama",7.4,140,146.88,D
Shrek,2001,"Animation,Adventure,Comedy",7.9,90,267.67,D
Mr. & Mrs. Smith,2005,"Action,Comedy,Crime",6.5,120,186.34,A
Angels & Demons,2009,"Action,Mystery,Thriller",6.7,138,133.38,C
Teenage Mutant Ninja Turtles,2014,"Action,Adventure,Comedy",5.8,101,191.2,C
Bruce Almighty,2003,"Comedy,Fantasy",6.8,101,242.83,B
Rio,2011,"Animation,Adventure,Comedy",6.9,96,143.62,D
Saving Private Ryan,1998,"Drama,War",8.6,169,216.54,AA
Rise of the Planet of the Apes,2011,"Action,Drama,Sci-Fi",7.6,105,176.76,D
Home Alone,1990,"Comedy,Family",7.7,103,285.76,C
Hotel Transylvania 2,2015,"Animation,Adventure,Comedy",6.6,89,169.7,C
Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy",8.3,131,309.13,C
Charlie and the Chocolate Factory,2005,"Adventure,Comedy,Family",6.7,115,206.46,C
Indiana Jones and the Last Crusade,1989,"Action,Adventure",8.2,127,197.17,C
Jaws,1975,"Adventure,Thriller",8.1,124,260,B15
San Andreas,2015,"Action,Adventure,Thriller",6.1,114,155.19,A
It Chapter Two,2019,"Drama,Fantasy,Horror",6.5,169,211.59,A
Wreck-It Ralph,2012,"Animation,Adventure,Comedy",7.7,101,189.42,C
Godzilla vs. Kong,2021,"Action,Sci-Fi,Thriller",6.3,113,100.92,C
The Hangover,2009,Comedy,7.7,100,277.32,D
The Lego Movie,2014,"Animation,Action,Adventure",7.7,100,257.76,C
Bumblebee,2018,"Action,Adventure,Sci-Fi",6.7,114,127.2,D
Star Trek Into Darkness,2013,"Action,Adventure,Sci-Fi",7.7,132,228.78,B
The Matrix,1999,"Action,Sci-Fi",8.7,136,171.48,AA
Gladiator,2000,"Action,Adventure,Drama",8.5,155,187.71,B
Pretty Woman,1990,"Comedy,Romance",7.1,119,178.41,A
Cars,2006,"Animation,Adventure,Comedy",7.2,117,244.08,C
Ba bai,2020,"Action,Drama,History",6.7,149,0.37,A
X-Men: The Last Stand,2006,"Action,Adventure,Sci-Fi",6.6,104,234.36,C
National Treasure: Book of Secrets,2007,"Action,Adventure,Mystery",6.5,124,219.96,A
Lucy,2014,"Action,Sci-Fi,Thriller",6.4,89,126.66,C
Mission: Impossible,1996,"Action,Adventure,Thriller",7.1,110,180.98,B
300,2006,"Action,Drama",7.6,117,210.61,AA
The Last Samurai,2003,"Action,Drama",7.8,154,111.11,C
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,"Animation,Action,Adventure",8.2,117,47.7,D
Wo bu shi yao shen,2018,"Comedy,Drama",7.8,117,0.01,C
Ocean's Eleven,2001,"Crime,Thriller",7.7,116,183.42,A
Wo he wo de zu guo,2019,"Drama,History",6.3,154,2.36,D
Thor,2011,"Action,Adventure,Fantasy",7,115,181.03,B15
Pearl Harbor,2001,"Action,Drama,History",6.2,183,198.54,D
La La Land,2016,"Comedy,Drama,Music",8,128,151.1,D
Tarzan,1999,"Animation,Adventure,Comedy",7.3,88,171.09,B
Men in Black II,2002,"Action,Adventure,Comedy",6.1,88,190.42,B
The Bourne Ultimatum,2007,"Action,Mystery,Thriller",8,115,227.47,D
The Mummy Returns,2001,"Action,Adventure,Fantasy",6.4,130,202.02,D
Alvin and the Chipmunks: The Squeakquel,2009,"Animation,Adventure,Comedy",4.5,88,219.61,C
Les Misérables,2012,"Drama,Musical,Romance",7.5,158,148.81,A
The Exorcist,1973,Horror,8.1,122,232.91,B
Mrs. Doubtfire,1993,"Comedy,Drama",7.1,125,219.2,A
Terminator Genisys,2015,"Action,Adventure,Sci-Fi",6.3,126,89.76,AA
Warcraft,2016,"Action,Adventure,Fantasy",6.7,123,47.37,A
A Star Is Born,2018,"Drama,Music,Romance",7.6,136,215.29,B
The Greatest Showman,2017,"Biography,Drama,Musical",7.5,105,174.34,B15
Terminator 3: Rise of the Machines,2003,"Action,Sci-Fi",6.3,109,150.37,C
Pokémon: Detective Pikachu,2019,"Action,Adventure,Comedy",6.5,104,144.11,D
Shang-Chi and the Legend of the Ten Rings,2021,"Action,Adventure,Fantasy",7.4,132,224.54,C
Die Another Day,2002,"Action,Adventure,Thriller",6.1,133,160.94,B
The Secret Life of Pets 2,2019,"Animation,Adventure,Comedy",6.4,86,158.87,C
Cast Away,2000,"Adventure,Drama,Romance",7.8,143,233.63,D
Rampage,2018,"Action,Adventure,Sci-Fi",6.1,107,101.03,D
The King's Speech,2010,"Biography,Drama,History",8,118,138.8,B
The Matrix Revolutions,2003,"Action,Sci-Fi",6.7,129,139.31,B15
The Intouchables,2011,"Biography,Comedy,Drama",8.5,112,13.18,B
Bad Boys for Life,2020,"Action,Comedy,Crime",6.5,124,206.31,C
Django Unchained,2012,"Drama,Western",8.4,165,162.81,C
Beauty and the Beast,1991,"Animation,Family,Fantasy",8,84,218.97,D
Dances with Wolves,1990,"Adventure,Drama,Western",8,181,184.21,D
Wo he wo de jia xiang,2020,Drama,6.5,153,89.76,C
The Chronicles of Narnia: Prince Caspian,2008,"Action,Adventure,Family",6.5,150,141.62,A
Sex and the City,2008,"Comedy,Drama,Romance",5.7,145,152.65,C
Zhong guo ji zhang,2019,"Action,Adventure,Drama",6.2,111,0.71,B
The Mummy,1999,"Action,Adventure,Fantasy",7.1,124,155.25,C
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure,Family,Fantasy",6.3,113,104.39,B
Jason Bourne,2016,"Action,Thriller",6.6,123,162.43,B15
The Wolverine,2013,"Action,Sci-Fi",6.7,126,132.56,C
Kingsman: The Secret Service,2014,"Action,Adventure,Comedy",7.7,129,128.26,D
